S.No,Comments,Label
1736,cinema dobbaka aduku tinnanndi eddaru,hate
1737,rana garu miru chala simply star,non-hate
1739,okka goppa director chudadam kantay adrustam em vuntundi mi ashishishulu tarak sir ki vubdali,non-hate
1740,e paata lo jr ntr nataniki deshame daasoham ayyindi,non-hate
1741,e okka song tho movie vere level ku velipoindhi,non-hate
1743,mee lantivaalla matalu inspiring ga vuntai…god blessed us with more knowledge by sent people like you,non-hate
1744,devudu manishi kanna goppa,non-hate
1746,pitchi pk neeku neemeede nammakam ledhu you only belive ncb,hate
1747,yem matladuthunnav ra naralu kattai poiniy neeku lekkalenduku ra ayya weekend politician,hate
1748,samsaram cheyaganey pillalu puttaru sir wait for good result,hate
1751,yendira nayana yitla vundipower star actions chusthunte goosebumps vasthunayi india lo all records smash ayyela vunnayi,non-hate
1753,wow super sir e cinema chla pedda vijayam avvli me fans ki panga chesukovali sir hbd sir,non-hate
1754,adhe better anthe kaani life long savings one day lo waste cheykudadhu lifelong entha karchu avthundho aa oka roje antha karchu pedathaaru chaala mandhi,non-hate
1756,own party ni yem peeekaleka yevadiki ichhhi vaaadi kindha bhanisalaga undatam meee vamsanike,hate
1757,blood breed veru mental certification kuda,hate
1758,adhoka vamsamveedi dabbalu veedu,hate
1759,e family dabba manuko vayya bul bul chala mandi ki records vunnai edo mi family goppa migitha family sankara jathi ani anadam comnsence ledhu ani ni certificate chepthundi mi family lo ntr ela vuntadi kalyan ram nv marav nv manshiva balayavva ani antaru ma side,hate
1760,orey jaffa bul bulgo and buffalo muddilo paduko,hate
1761,mi vamaham mohanbabu vamaham tarvathe ra sollu ga,hate
1762,ore sollu apura,hate
1765,annayya nuvvu sucess ayyalani manasara korukuntunna iam from vizianagaram,non-hate
1766,all the best annya aaani hard work apudu ki waste kadhu sir jai janasena,non-hate
1767,ravaali pavanjai janasena,non-hate
1769,baga kastapadutunnav brother super,non-hate
1770,daya chesi okka chance evvadi pawan kalyan gaariki am from banglore,non-hate
1772,ntr ni cm ga chudalitatayya paruvukosam,non-hate
1774,ntr garu miru chala pedda artist matldalisochinappuduthagginchi matladandi adigunapudu odiguntame manchidi,non-hate
1775,mamauluga undhadhu mari ntr anthe,non-hate
1779,adhi ento nuv wrong family lo unnavu bronee speech lo compulsoryga social responsibility untundhihats off to you,non-hate
1781,manoj okkade odd man out in manchi family,hate
1782,manchu family ki inka respect undi ante adi only nee valle manoj anna,non-hate
1783,manchu family ni nvve kapadali anna,non-hate
1784,manchu family paruvu kapade manishi nuvvu okkade anna,non-hate
1785,nenu oka ntr fan ga chepthuna heart touchesaru sir mee speech tho hats off sir,non-hate
1787,manchi cinema ni prathi okkaru aadaristaruall the best nikhil have a bright future,non-hate
1788,ippati varaku peddha heroes ki chinna actors kaka pattaru ika nunchi pedda heroes thodalu kottada lu meesaalu meda gokkodalu manesi chinna heroes ki value iche time vachesindhi,non-hate
1789,samudramlo alalu aagavu harsha anna ki anna meeda prema chavadi,non-hate
1791,nna nuv chesina help ki vallaku edho oka chinna avasaralaku panikosthundhi harsha sai love you anna,non-hate
1792,anna nee voice ante naku chala istam,non-hate
1794,smile chudanidhe venakki thaggavu bro nuvvu,non-hate
1796,vinayaka chavithi subhakanshalu harsha sai,non-hate
1797,harsha anna ni kalavaali okkasaraina,non-hate
1799,hi harshahappy vinayaka chavithi life long nuv happy ga undalaniaa devunni korukuntunna saimay god bless u harsha,non-hate
1800,hii bagunnara harsha sai garu meku mee team members ki happy vinayaka chavithi,non-hate
1804,chiranjeevi be like arey em matladuthunnavra,non-hate
1806,evari cheppulu moyataniki prajalu ninnu gelipinchaledu bandi,hate
1811,em bathuku ra nidhi oka mp vi state president vi nuv slippers moyadam entra vedhava telangana ijjath tisinav,hate
1814,naku prabhas anna ento rana anna kuda antey,non-hate
1817,e desham lo anni rajakiya nayakula vigrahalu ilagey padipovali,non-hate
1818,ee desham lo politians purugulu paati nasinam kavali,hate
1822,pavitra baga denguchiko naresh tho,hate
1823,pavitra ni gudda awesome ni age ni figure ki salute,hate
1826,nalla baalu nuvvu evadara jagan anna ni tidava,hate
1828,konda anna mi attitude ki salute,non-hate
1833,sharmila nuvvu ooriki ki poyi record dancelu cheskho,hate
1834,movie peru lanjas samanthamanchu vishnu swara bhaskarmanuch akkaanasuya,hate
1835,anasuya lavada mokahi ellu aunty anukunda babu annala,hate
1838,venkat reddy ki buddi pagilindi anudke noru mosukohni vundali,hate
1840,siggu vundali amma jagan lanti erripuk kanna anduku,hate
1841,kcr vadu vadi banda karre muku esjoni ma modi tho callenge ha,hate
1847,rajakeeyanayakulu kuda lanjala ey vellu party marututaru vallu illu marutaru,hate
1848,kodali nani ki caste pichi valla kulum ayithey pellam kuda gift gah istharu,hate
1849,mamulu ga evvaledhu ga anchor anna,non-hate
1850,jai cbn jt sr ntr nenu mi tdp supporter na pranam istha,non-hate
1854,sitharaman oka sudda pappun siggu ledhu asla mms valla india ela atani economic policy valle india trillion economy ayindhi,hate
1855,nuvvu poyyi modi modda cheku mms oka great econmist ani prapamcham anukondhi antanu lekunte india ledhu,hate
1856,edhi carect kadu modhi garu papam kovindh garini ala avamanaparachadam carect kadu,hate
1861,bandi sanjay ni bandi lo vunna engine degindhi andhukey pichi pichi matladutunnaru,hate
1862,rohit sharma kulubothu na koduku asia cup kuda tesukorale malla vadini virat lo poluchutaru,hate
1863,indian player aata radhu padhu semifinals piles anni modalo jabbulu vachi odipotaru,hate
1864,asla semi finals vache saraki prathi vadu moddalo gameolay anni appudey bayathutahai,hate
1865,middle order marchu vinnale world cuo degindhi asia cuo dengindhi poyi gully circket adukondi,hate
1866,bhuvi adhey th over lo madien cheasaru enti moddalo srh key adhey ki maiden kuda avasaram ledhu oka runs ichi dengi match odipincharu,hate
1878,love story muddulu kadu sannivesam site ranam lo scenes lo love chala baga chupicharu movie,non-hate
1881,ee movie theatre lo chudakapote tarwata mere feel avutaru excellent movie,non-hate
1882,bangaram lanti wife failure kuda supporting ga undi kani veedu vini veshalu,non-hate
1883,arshadeep ni asla enduku tisukonnario telidhu vadiki simple catches kuda vadili dengaru ha moddalo feilding kante pakistan feilding melu,hate
1884,vijay shankar anna d anna enti anna na lavadio batting modalo feilding inka no ball eesidenagtuavu nuvvi d enti,hate
1885,snow family ela bathukundhi ante burdha pandi bathukundhi nenu bathuthunnanu,hate
1886,kl rahul ipl baga adutavu india ki moda laga adutavu preity tho night out ha enti,hate
1887,preity zinta oka bazzar kukka team tesukovadam kuda radu,hate
1888,kavya papa circket meda avagahana ledhu ma aubction dengi mataldutnadhi,hate
1889,vijay mallya nirav modi kapadindhi bjp malla ha baate shah gadu nak emtelidhu antaru,hate
1890,rey yendhuku ra puri garu cheppindhi okkati miru chupinchedhi inkotirava annadu puri garu dhani vere laga cheptharu andhuku ra,hate
1891,tyson rey puri inko sari ni mokham choopistahe egiri egiri dengutha,hate
1892,naarappa theatre lo vachedi unde motham kcpd untunde,non-hate
1901,rip sunaayesena maranam chaala goppa vyakthi and even abdul kalam died in the same way,non-hate
1902,valla husband koda intha la thalchukodura nayana,non-hate
1903,sooraj oka rapist malla sulli bhai suport okati,hate
1904,jihah khan sucide ki karanam sooraj altanchdi sulli bhai mafia support free vare ammailtho dengithunaru,hate
1905,sooraj inka valla daddy oka rapist rapist family gudda mi dabbulu valla safe malla modi give respect to women anta,hate
1907,tega feel ayitunnadu adhe vere hero ayithe notikochinattu vaagutunde,non-hate
1908,anna ni fan nenu evi niki anavaram,non-hate
1909,vd gudda mi ekkuva attidude andheukey movie assam ki dengindhi,hate
1910,ore teenmar mallanna pedda thopula feel kaku,non-hate
1911,mundhu nuv e cinemala gurinchi apu ayya nduku niku respect ivaniki radhu m radhu,non-hate
1912,flop ante eante bayya neku thilusa nuvvu thisava movie nuvvu produce chesava nuvvu chusava ne abba nuvvu chudara movie first,non-hate
1914,kcr niku baga ekkuva ayidhi anni moukni cm avvu next karre mukku ki cm endhuku ra lanje boss,hate
1915,basavaraj oka daridurudu hindu ante challu vadu rapist ayina parle vadithine kapuran chestharu,hate
1916,modi ki cheppu neku oka yogi ante chaalu nee vuncha kuda tagutaru,hate
1922,pragya thakur oka dogga baba dani endhuku mp ayindho telidhu pichipuk janalu andhey north india ala vundhi,hate
1933,sonam kapoor ni rape nadhi road o vadhileyala,hate
1934,alia bhatt cheshe overaction ki hatsoff,non-hate
1935,first koja johar ni india nunchi tarmidengithe sangam pedha pothadhi,hate
1937,alsa janalu erripuk galu jagan ni cm cheyadam enti,hate
1946,pichi lanjakodukuvi chandra babu kali gotiki saripovu,hate
1947,hero ni baga encourage chestundi papa,non-hate
1948,cr cheralante cr petti movie thiyyali,non-hate
1950,acting super undhi ga bro just story lo dammu ledh,non-hate
1951,anusya potti potti dress esukoni expose chesthe hot rape sexy fogure comments tappa em vasthaai,hate
1954,enti villu ee cinema ni oka bahubali kgf kante ekkuva uhinchukuntunattu unnarupapam picchi vedava,non-hate
1955,ila extras cheyadam cinema ki karchu pettam so people should pay antaaru,non-hate
1956,cinema karchulakantey ee karchule ekkuva papam producers ki,non-hate
1957,mana paisal tovallu njoy chestunnaru mundu manaki buddiledu,hate
1960,basavraj oka rapist gadini support chesthunnadu endhuku vadu brahmin kabati,hate
1961,himanata asala siggu ledhu kerjiwal lanti valla pettukovadaniki,hate
1963,jagan amma vadi dabbulu pettali nanna gudda lo nunchi leppali,hate
1966,nehru amman denga ni valla india pakistan godava inka vundhi,hate
1969,lakshmankumar kavali next step is tdp vallu money print cheyakunda adukuntunaru ane press meet pette mare chepatadu,non-hate
1972,andhra ni dengali ante jagan abivudri ante cbn,hate
1977,jagan gabbu gadu cbn pettina manchi padakalu ni tolagichi auto valla ki rs esthunnaru,hate
1978,free ga icchina cinema theatre deggariki kuda evvadu raadu,non-hate
1979,son of india ticket booking records ni baddalu kottaalani asisthunnanu,non-hate
1980,aha atna son of india ki theater lo okkadaina unnadu ticket rate penchithe aa okkadu kooda undadu appudu house full kaadu house nill avvuddi,non-hate
1982,arey meru mi chillaru mokhalu chillaru jokes vaddu ra babu,hate
1983,jabadrasth oka chillaru show anni double meaing daniki lnja roja inka rashmi,hate
1984,roja oka noru vunna pichi lanja noru vundhaani edho edho matladthi,hate
1985,eii yevudra veedu andanga vunnav antunnadu akka antunnadu,non-hate
1986,jagartha antunadu andham antunadu akka antunnadu ento veedu em ardham kavadam ledhu em antunado ardham kavadam ledhu antha confusing ga vundhi,non-hate
1987,manamu the dsp magic ni miss avuthunam in audio launches,non-hate
1988,andhra police meedha eppudo nammakam poyindhi,non-hate
1992,dolund oka oka daridudu asla valla hate crime ekkuva ayindhi vadi valla vadu vari donga buddi,hate
1997,bonda uma dhi oka kukka jeevitham adeskha,hate
1998,sakshi correct eppudu rasindani meeru mee jokulu,non-hate
1999,cut paste video cut aaeindhi,non-hate
2002,pk power supplylo meru okka star,non-hate
2003,na life lo anna ute nenuu vutha,non-hate
2004,idhi matram correct bro ayana gelavadam maki avasaram simple ga cheppalantenijanga ayana dabbulu sampadhinchalante yearly crores cinemallone easyga earn cheyagaladuyevadiki dabbulu longalsina avasaram ledhu,non-hate
2005,hatsoff to you bro e mattalu andhru artham chesuko vali,non-hate
2010,dheeni dhrustilo idhi okkate pedhha sincere politicion migatha vallu time pass chesevalluasal aa body language endhi,hate
2015,yevaremanukunna cbn gaaru valuable person,non-hate
2019,poyakalam deggara padinappudu alage chestharu,hate
2020,bgm tho goosebumps tepinchadu,non-hate
2023,ennisarlu chusina chudalanipinche great scene idi,non-hate
2025,vadiki scene lekunna cinema teesinpellam pillala life nashanam chesaduvadini pogadaksina anta scene leduvalla family interview lo enta badha paddari chuste ee elevation undadu,hate
2026,avasaram a vadiki,hate
2027,pasaleni personality dhanraj thana comedy kuda em bagundadu,hate
2028,dhanraj idi edo theda ga undi ee,hate
2029,hero ipodham industry ni yeledham ante last ki bokka ipotham,hate
2030,unde money tho manchi mirror konukunivunte intha money loss chesundevadika,hate
2031,veedu aids patient la untadu hero enti ma karma,hate
2032,erripuvvu panulu,hate
2033,ami parvaldhuvedu pedha bokka,hate
2034,niv hero entra lafoot gs,hate
2035,painleni producers ki panileni nastalu,hate
2038,thanks talli koncham naalika mandam laaga undhi,hate
2042,okkasari chance ivvandi chala manchi manishi cm kavali jai janasena,non-hate
2043,rastam bagunddali ante pawankalyan cm khavali rastam bagupaduthundhi,non-hate
2044,correct ga cheppav anna ee vedhavalaki intha alochana ledu em chestham,hate
2045,poor people ki middle class varu happy ga brathakavachu,non-hate
2046,ha bokkale veedu vadi babu lage,hate
2047,bokka laga vundhi movie nd half lekapothe movie oka sari kuda chudalem,hate
2048,sollu cinema oka move ayina oka splist boxer move ayinatu unda baddakam punch lu lazyy moves,hate
2049,one more flop hero part of nepotism gang,hate
2050,chala manchi pani chesaru,non-hate
2051,pichola gurinchi vinadame gane direct ga epudu e video lo chustuna,non-hate
2053,nani fans ante mamoluga undadhu mari super love you nani love you,non-hate
2056,nenu aitey denkapota akkadnunchi,hate
2057,ami chasarante uday kiran ni champaru vedi nepotism valla,hate
2058,mem vallani stars chesam inka yem cheyali okka pani cheye bro nuve ne wife ki pawan deggara ampi ne vatha aye potundi k na,hate
2059,mana paristhithi yenty ante manam mo kudisipoina parvaledu manalo okadu mathram yedagakudadhu,hate
2060,ikkada kontha mandi paytm langas aduguthunna questions mari vaalani stars chesamu ga orey erripuvvu lara star chesthe assembly kelli bill pass cheyagalara poni central gov nunchi nidhulu theppibchagalara teacher vudyog ichi case lu isthamante chala daridranga vuntadi,hate
2061,orey black mamba ga vallani pedda stars ni chesam niyabba entha kulapichi vunntey ela matladathava,hate
2062,kulaaa pechhe fuuga undeanana,hate
2063,orey manam cinemalu chudabatte vallu luxury ga brathukunnaru ra,hate
2064,nuv amina chia ra buffalo,hate
2065,norumuyyura pavala,hate
2067,appara babu ni kulagaji,hate
2068,meeru emi chestunnarusollu matalu tappa,hate
2069,pora pavala,hate
2070,first puri gariki pattina shane nuvu raku thali rest thisko hayiga,hate
2071,raaakapoyina parledhu,hate
2074,chi pove,hate
2075,konni love stories lo love express cheyyataniki muddu pettukovalsina avasaram undadu,non-hate
2076,manchiga kurchoni adugu thammudu,non-hate
2077,love story muddulu kadu sannivesam site ranam lo scenes lo love chala baga chupicharu movie,non-hate
2078,edi mana kvishwanadh garu eppudoo ennisarlooo chepparu,non-hate
2079,muddu scene avasaram emundi valla love kanipistundi ga,non-hate
2080,baga cheppadu,non-hate
2082,acting super undhi ga bro just story lo dammu ledh,non-hate
2083,e pichakuntla comments ndhk ra acting super chesadu director falt ani clear ga kanpistuntea,hate
2084,nuvu velli record chesava loveda,hate
2086,potaru potaru array,hate
2087,devudimida jokulu vesina avamanichina chala nasta potaru vinayakudito pettukokuda power full god,non-hate
2090,nibba reels cheyaku bro,hate
2092,chala ante chala bagundi bro,non-hate
2093,bro ni fututr inka machi position ki veltavu bro super ga editing bro,non-hate
2094,kindha midha upu ma prabhas anna thopu,non-hate
2095,aaa voice lo unna rajasa yogame vere level jai prabhas anna,non-hate
2096,over action aapu,hate
2097,na loveda vikram eedu okka cinemalu hit kagaaney chiranjeevi kanna ekkuva feel ayithunnadu,hate
2098,mokkam paguludhie,hate
2099,chattha cinima ra babbu,hate
2100,edi over action,hate
2101,telugu vallu ante antha chulakanagaa undha a heroki,hate
2103,nani anna movie marchukovali,non-hate
2106,ledhu daddy meere important ani cinema loki vachestha,non-hate
2107,overaction tho jaanani confuse chestunnaru picchi na k,hate
2108,anchor be like pichi na kdklni andharu ikkade unnaru,hate
2109,anchor be like pichi na kdklni andharu ikkade unnaru,hate
2110,veelu vedi over action,hate
2111,arey sollu comedy apandraaaa,hate
2112,edhi yekkadi mass ra mama jai bandla anna,non-hate
2113,bandla ganesh thopu dammunte evadina apu,non-hate
2114,balayya devudu,non-hate
2115,eeee suma overaction rota ga undi,hate
2117,punch veyyalantaysunil anna tharuvathayeeyavarina,non-hate
2118,punching falaknama tho easy kaadhu,non-hate
2119,madhi sommu ea kadha vochesthadhi,hate
2120,nilanti varu okkaru unna mana desham baguntadi,non-hate
2123,arjun reddy slang masthu undhi,non-hate
2124,bagaa tension paduthunnavu akkaa,non-hate
2125,daniki mekaup mida una sradda abiruddi meda ledayi,hate
2128,ore teenmar mallanna pedda thopula feel kaku,hate
2129,orei ep nayala evadu pay chesindu neeku politicians ankunda veela meedha paddav,hate
2130,miku cinemala gurinchi andhuku ra nuvvu pettukunna dhukanam anti matladey matter anti,hate
2132,usa lo cr value house etla konnav ra nuv evadi abba sommu,hate
2133,evaru vunauru akada super,non-hate
2134,yerripooka,hate
2135,education mukkyam kadu janalani chadinivanadu eerojuallo vadu goppavadu,non-hate
2136,yes mark lu kanna gnanam sampadhisthe life long panikivasthadhu,non-hate
2137,e over action voddu ra,hate
2139,naa drustilo pspk garu devudu,non-hate
2140,samantha ki exposing fame popularity medha una interest family medha ledu emo asal bollywood lo act ey cheyanu south ante pranam ani interviews lo chepi epudu ah chetha industry ki importance isthundhi ey hero mahesh babu ram charan allu arjun vala wifes tho exposing vere vala tho chetha scenes cheynisthara andharau valu kalavali ane anukuntunaru gani ami akshay kumar ethukuna parledu evaru em chesina parledu anatu mindset adhi popularity anukunta amiki,hate
2141,andhariki rajamouli rgv inspiration emo naku meere inspirationwords can do more than actionmee laga knowledge gain cheyyali sir nenu,non-hate
2142,ur too intelligent sir me interviews anni chustanu yedho oka message istaru sir,non-hate
2143,manaki ibbandi ochinappudu koncham sahinchatam kastam ochinappudu koncham bharinchadam anandham vachinappudu koncham panchadam,non-hate
2144,moham lo choodu enta kala uttipadutundo,non-hate
2145,movie matram modda gudisi potadhiii pakkaa,hate
2146,bokka la vundi movie,hate
2147,hindi vallatho sanka nakipothav,hate
2148,anduke film dobbindii,hate
2151,sathi nee comedy lo pasa ledhu,hate
2152,sati ni interviews chuse vallu ipudu evaru leri,hate
2153,satthi nee comedy irritation ga undi,hate
2154,satti erripuk irritating,hate
2155,nattu gaadu tappu maatladi vundachu nuvvu peekindhi em ledhu andaru nomination chesina vaadi valla vachesam antaaru kaani votes vesedhi audience idhem logic naaku artham kaaledhu nuvvu ashu limits cross chesi maatladaru house lo adhe inko magadu mimmalni ante pativrathalla pose em ladies raa swamy,hate
2156,sravanthi akka dont cry be strong v r u,non-hate
2157,waste gadu natraj is very bad behaviour,hate
2158,natraj chala bad behaviour,hate
2163,nenu vunnanunenu vinnanunenu chusanu all are eligible for the oscar level performance,non-hate
2164,mimmalni chustunte allu ramalingayyagaru comidy chusinattu vundi malli,non-hate
2165,hahaha papam aravind garu rathri nidra lo kuda tieup antey bayam vachetatlu undi,non-hate
2166,maa allu aravind gari comedy super allu sir plz meeru movies loo act cheyandi,non-hate
2167,allu aravind garilo manchi actor vunnaru hilarious,non-hate
2168,chachipothe pedakaram poyedhiga andhuku bathikavra,hate
2169,mulapeta lo years chadhukuna,non-hate
2173,magadiki aada vesham vesinattundhi srija aa maathranike pelli meedha pelli siggundali,hate
2174,dhobbey dhobbey antunnav enti chiraku dhobbinchadam baga alavatu anukunta neeku,hate
2176,pillala gurinchi alochinchi husband tho kaliste andariki baguntundi pls take care,non-hate
2178,kothaga ee dharidram inka vellu start chesaru,hate
2180,ntr anna la acting cheyleantey enko janma ettale evarinaa jai ntr anna,non-hate
2181,dheni bhaga deangali rojani,hate
2182,abbabba em reply echadu boss supper,non-hate
2185,bokka spritual ela champukkunnte years baby,hate
2187,washing powder nirma neevu maa mukyamantri awadam maa karrma,hate
2189,oka family motham industry akramincheste prati okkaru ilage matladali tappadu,non-hate
2190,re endukura overacting thengutunnav,hate
2191,cheppindi chalu denge bokka,hate
2192,ee yadava monna balayya nu kuda alage annadu,hate
2193,a gundey brathakali bro,non-hate
2195,meku kuda manchi bavisath unntadi,non-hate
2197,atluntadhi mannolathini,non-hate
2198,chillara bokugallu,hate
2199,nijanga ilanti extraordinary persons untaru,non-hate
2200,nijamga ala ante principal urukuntadantava bhayya,non-hate
2201,ma principal ni antha mata ante internals lo fasak,non-hate
2202,nuvvu nee fake muchatlu,hate
2203,vinevallu verrypappalithe edina cheptharynammandi nammandi,hate
2204,ahh bongule,hate
2205,erripuk gallu meru,hate
2206,pedda sollugaadu,hate
2207,nijamga aadu annadaveedu kurchoni sollu dhobbuthunnadu,hate
2208,brahmini name yenduku raaorey tingaroda as amai paruvu teestunavu,hate
2210,emana common sense unda ra lokesh nikuaa video ki ni wife name mention cheyadamfirst tym anpinchindi nuv nijam ga pappu anim,hate
2211,alaanti goppollaki ilaanti goppolle pudatharu,non-hate
2212,meeru ala antunte goosebumps vastunay sir,non-hate
2213,malli thintanu antadu chusava adhi comedy,non-hate
2214,jaffa mega family,hate
2215,uvvvvvvvvvvvvv joke bagundi pulka,hate
2216,meru eppudu telugu lone matlada tharu,non-hate
2217,anna boss mega star rc ki dance ki andariki punakam ravalla anna,non-hate
2219,shekhar gadu endi na ninnu pilchedi,hate
2220,anna nv thopu neki sati yevaru leru,non-hate
2222,chala smart anna nvupuri sir koduku anioinchukunnav,non-hate
2223,super cover drive puri babu,non-hate
2225,yadava veshalu taginchukunte baguntadi,hate
2226,gudda balisindara aadiga balayya fans ikkada,hate
2227,vediki gudda baga balisindi anukuntabalayya babu meeda jokes endukura ep,hate
2228,ne dramalu ayana daggariki velli chey muthipallu ralakodatadu,hate
2229,chempa pagilddemo,hate
2230,are babu niku endukura,hate
2231,adi gadu bathroom velli vachi kadukkuntunadu,hate
2232,dance show erripuku chesesaru kadhara comedy zabardast lo cheyandi d lo dance cheyandi erripuku director erripuku editing,hate
2234,xlent meeku meere saativery,non-hate
2237,in direct reshmi ke kiss aadiga du sudheer bhaiyya,non-hate
2238,manu garu meru involve avvakandi chala chiraku ga vuntundhi,hate
2240,annaiah ani sarlu vinna vinnali anipistundi annaiah ni songs,non-hate
2241,nv enjoy chestu bale padavu,non-hate
2242,enti bhaya ala shock ichav ammaikudu la unde vadivi,non-hate
2243,trolls chese vallaki pandage e video tho,non-hate
2244,ma sudheer anna ekkadunte akkade navvulu,non-hate
2245,late iena parlaydhu movie mamuluga vundakudadhu movie,non-hate
2246,mangli enni songs padi peruthechukundho valla sister ee okka song tho antha peruthechukundhi you success continue like this sister,non-hate
2247,vedoka pulkagadu vinikanna prakash raj better,hate
2249,yevaru e mogudu vadilesina pativratha,hate
2251,ni batuku yente,hate
2252,veedi maatalaku yentha mandi kodathaaru veeni,hate
2253,karma ra swami,hate
2254,naaku okasari pisakalani undi apsommullu tinitelangana lo pisikinchukuntunnaru,hate
2255,chi yentra makikarma,hate
2256,moddakuduv,hate
2257,apande ra me ranku veshalu me kullu comedy,hate
2258,mee chatha face llu mee kullu comedy tu,hate
2259,chachi urukuntavanni thaguthe,hate
2261,telugu tamil industry la ki break dance nerpindhe prabhudevameru evergreen dancer sir,non-hate
2262,idhi dance ante super anna nee daggara evaraina sariporu mee vantilo undhi,non-hate
2263,hema kuturu chala chala baguntadi chala suma show lo chusanu,non-hate
2264,panikimalina,hate
2265,deeniki doolekkuva kovvu baga patti unnadi,hate
2266,ranku mundalu meru antha,hate
2268,pakkode meda pade edvadam tappa inkem radhu vedeki,hate
2269,veedu aadi gaadu maaradu veediki stage cleaning pani ivvandi,hate
2270,aree aadi entra ni balupu koncam siggu emaina unda,hate
2271,arey cheppu tho kodatha,hate
2272,nee video chusanu bagundi vishnu,non-hate
2273,kallu dengaya broo,hate
2274,pulihora raja gadu appudu choosina ladies tho pulihora kaluputhu untadi niku vere pani leda anni overaction video lu chestadu,hate
2275,ekkuva seyaku inka chalu,hate
2276,kama kukka,hate
2277,audience be like bengu athi bengaku,hate
2278,charan cute cute expressins chala bagunnadu,non-hate
2279,migataa pannendu gantalu bathrooms clean cheskuntavara dyper aadhi,hate
2280,eetv lekapote adukku tine vallu,hate
2281,ari pulka family chusi videos aa evi control words,hate
2283,gunturodi yetakaram ante itlane untadi mari,non-hate
2285,ok andi mari vallu sampadinchukovadanike ga vallu hero avadanike ga maku or avutundi office nundi camp nundi ravadaniki adi ma family kosam andaru ante javan lanti valla to manakenti polika,non-hate
2287,akka niku ekkuva inda endimata sariga ratle,hate
2288,meeru moosukunte baguntadi,hate
2289,guvva balupu bagundhe niku,hate
2292,chala manchi singer but win avvaladu but he will reach his success,non-hate
2293,deeni over ackshan ekkuva aiendi chitra gari voice kanty emi baga lydu avidaaa chala paddathi ga untaru,hate
2294,dabulu iste adi padindi dabulu iste villu act chesaru lavadaga laga undi set kaledu,hate
2295,e bogada aadi gadu unte show sanka nakinatte,hate
2296,amma pai joke enty raaa avulagallraa,hate
2297,tokka jokes,hate
2298,adhi nuv ekkuvachaiku ra kojja,hate
2299,pilla puk comedy,hate
2300,chala worst ga undi,hate
2301,modda lo comedy,hate
2302,specs teyi ra yedava,hate
2303,amma anaadhi inkokadu vastunaadu antaadhi nee bongulo comedy nuvu,hate
2306,inni rojulaki veedni correct ga dengaruuu,hate
2307,sollu nayala,hate
2308,vidu vidi kullu jokulu thuuuu,hate
2309,reyyy houleee chaduvu meedha jokulu coment cheyyakuuu daridrudaaa,hate
2310,ayithe poyi master gaadi modda guduvu,hate
2311,orey adhiga guddha mue,hate
2312,nuv velli vani solla cheeku aithe,hate
2317,nattu ga neku manishiki undalsina lakshanam okkati kooda ledhu kadha ra,hate
2321,etuvanti interviews kadhaa manaki kavalsinavi,non-hate
2322,ilantivi kaadha ee generation ki inspiring untadhiplz do more,non-hate
2324,bagunnavu chai and pallavi,non-hate
2325,nv ni mokam,hate
2327,deenni chusina prati sari naku penta kurchunna feeling vastandi,hate
2331,erripukulu,hate
2333,chala chala bagunnav and nee voice kuda,non-hate
2334,patakanna manishi bavundi,non-hate
2335,abbo iragadesindi song vere level,non-hate
2336,modda gudisipotav bollywood content lamti movies tistey,hate
2337,thu vedu mokam tagaletta,hate
2340,brahmi ekkada untee akkada comedyy,non-hate
2342,sir malli meeru industry ki ravalai sir,non-hate
2346,nu thopu director anna,non-hate
2348,theatre lo chusi masth enjoyed,non-hate
2352,iddaru same dress try cheyandi,non-hate
2354,nuvu chepu ra lakadikapul dubai ki yenduku velado donga malligadu,hate
2355,okka kcr thappa vere party vallaki amathram chepparu e thenmar,non-hate
2356,nvvu first e channel dheni kosam pettinav kcr kosama peoples ki emaina prayojanam vundhara entha sepu kcr sanka nakuthunnav,hate
2357,arey nuvu poyyi kcr gandhi naku ra manchiga matladithey memu kuda manchiga matladtham,hate
2358,arey shankar ga nvvu kcr sanka nakaku ra,non-hate
2359,idhi kadha kavalsidhi jai kcr,non-hate
2360,rey first education health free ivvu racountry m cheddam anukuntunnav ra telangana katham chesina,non-hate
2361,ondarga sachipora taagubothu kcr talangana ki pattina daridram potadi,hate
2365,anna samskaram undali koncham manishiga puttinappudu sampadhinchali ante elagaina sampadhinchochu kaani ilanti bhaashani janalaku nerputhu kaadhu,non-hate
2367,veedu gelisthe telangana people dhi kuda adhe situation,non-hate
2368,dinikanna sigguchetu inkoti oundadhu mery ma cm anni telangana pattina peedha,hate
2369,thappem ledu cheppulu andistheoka ias cm kaallu mokkithene anni muskoni unna meeku idela thappuga anipisthundi,non-hate
2370,kcr appu inka akkuva chesadu kada adhi cheppu mari,non-hate
2371,first telangana gurunchi edvu jai bjp,non-hate
2372,orey nuvvu trs ki anthaki ammudu poyavu ra niku antha echaru ra trs party valli,non-hate
2373,kcr gadu em pikindo cheppu ra shanka r,hate
2374,kcr ke potenava ne bathuku,hate
2375,u r the brokar in the party of trs,hate
2376,arey r entha echchadu ra neeku,non-hate
2377,nuvvu poyi ktr gudda naku jai bjp,hate
2378,nuvvu dorikithe than thantharu pattukoni evariki kanabadaku,non-hate
2379,good bro mari kotla appu chesina telangana gurinchi ndhuk matladav,non-hate
